frontier_index,throughput,fidelity,latency,memory
386,4,0.7837281406660386,75.0,30.0
387,4,0.8001503016395786,105.0,42.0
388,4,0.766387423677667,60.0,24.0
389,4,0.7837281406660386,75.0,30.0
390,4,0.8001503016395786,105.0,42.0
391,4,0.766387423677667,60.0,24.0
392,4,0.7837281406660386,75.0,30.0
393,4,0.8001503016395786,105.0,42.0
394,3,0.8125030698056337,45.0,18.0
395,4,0.7678773023542252,60.0,24.0
396,4,0.7852180193425968,75.0,30.0
397,4,0.8016401803161368,105.0,42.0
398,4,0.7678773023542252,60.0,24.0
399,4,0.7852180193425968,75.0,30.0
400,4,0.7678773023542252,60.0,24.0
401,4,0.7852180193425968,75.0,30.0
402,3,0.8238851836267719,50.0,20.0
403,4,0.7764138877200789,65.0,26.0
404,4,0.7937546047084505,80.0,32.0
405,4,0.8101767656819905,110.0,44.0
406,4,0.7764138877200789,65.0,26.0
407,4,0.7937546047084505,80.0,32.0
408,4,0.7764138877200789,65.0,26.0
409,4,0.7937546047084505,80.0,32.0
410,3,0.8336375208880517,60.0,24.0
411,4,0.7837281406660387,75.0,30.0
412,4,0.8010688576544103,90.0,36.0
413,4,0.8174910186279503,120.0,48.0
414,4,0.7837281406660387,75.0,30.0
415,4,0.8010688576544103,90.0,36.0
416,4,0.7837281406660387,75.0,30.0
417,4,0.8010688576544103,90.0,36.0
418,3,0.8343992844370204,75.0,30.0
419,4,0.7842994633277652,90.0,36.0
420,4,0.8016401803161368,105.0,42.0
421,4,0.8180623412896768,135.0,54.0
422,4,0.7842994633277652,90.0,36.0
423,4,0.7842994633277652,90.0,36.0
424,3,0.8457813982581586,80.0,32.0
425,4,0.7928360486936189,95.0,38.0
426,4,0.8101767656819905,110.0,44.0
427,4,0.8265989266555305,140.0,56.0
428,4,0.7928360486936189,95.0,38.0
429,4,0.7928360486936189,95.0,38.0
430,1,0.9134033532472536,20.0,8.0
431,2,0.8987748473553341,30.0,12.0
432,3,0.8105165649035561,45.0,18.0
433,3,0.8336375208880514,60.0,24.0
434,3,0.8105165649035561,45.0,18.0
435,3,0.8336375208880514,60.0,24.0
436,3,0.8555337355194381,90.0,36.0
437,3,0.8105165649035561,45.0,18.0
438,3,0.8336375208880514,60.0,24.0
439,2,0.9134033532472536,40.0,16.0
440,3,0.8433898581493312,70.0,28.0
441,3,0.8433898581493312,70.0,28.0
442,3,0.8652860727807178,100.0,40.0
443,3,0.8433898581493312,70.0,28.0
444,3,0.8105165649035561,45.0,18.0
445,4,0.766387423677667,60.0,24.0
446,4,0.7837281406660386,75.0,30.0
447,4,0.766387423677667,60.0,24.0
448,4,0.7837281406660386,75.0,30.0
449,4,0.8001503016395786,105.0,42.0
450,4,0.766387423677667,60.0,24.0
451,4,0.7837281406660386,75.0,30.0
452,3,0.8336375208880514,60.0,24.0
453,4,0.7837281406660386,75.0,30.0
454,4,0.8010688576544102,90.0,36.0
455,4,0.7837281406660386,75.0,30.0
456,4,0.8010688576544102,90.0,36.0
457,4,0.8174910186279502,120.0,48.0
458,4,0.7837281406660386,75.0,30.0
459,4,0.8010688576544102,90.0,36.0
460,3,0.8433898581493312,70.0,28.0
461,4,0.8083831106003699,100.0,40.0
462,4,0.8083831106003699,100.0,40.0
463,4,0.8248052715739099,130.0,52.0
