n_requests,sigma,policy,eps,n_variables,n_bundles_in,n_selected,param_utility,e_utility,reliability_gap,served_ratio,sla_violation_prob,e_delivered_fidelity,exact_time_s,gap_vs_exact
6,0.03,chance,0.2,16,16,5,126.58560454510551,227.94971692743349,-101.36411238232797,0.775,0.04516129032258064,0.6536682447314851,0.0017202049984916812,nan
6,0.03,chance,0.35,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.13861386138613863,0.628424956180593,0.0013459000001603272,nan
6,0.03,chance,0.5,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.13861386138613863,0.628424956180593,0.0012650259996007662,nan
6,0.03,chance,0.65,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.13861386138613863,0.628424956180593,0.0018380970013822662,nan
6,0.03,chance,0.8,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.13861386138613863,0.628424956180593,0.0018125189999409486,nan
6,0.03,nominal,1.0,18,18,6,178.62884428034653,326.28870241645103,-147.6598581361045,0.8833333333333333,0.2358490566037736,0.620369698646045,0.0018433670011290815,nan
6,0.03,chance_qubo,0.2,16,16,3,51.29873786548895,108.08002455576704,-56.78128669027809,0.5166666666666667,0.08064516129032258,0.6713914731055626,0.0019128109997836873,0.5947506191574101
6,0.03,hard,0.0,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.6264004795073802,0.0016290129988192348,nan
6,0.03,chance,0.05,8,8,2,8.659004893671504,14.675636287234784,-6.01663139356328,0.5875,0.0,0.7035864330134488,0.0011430650010879617,nan
6,0.03,chance,0.1,9,9,2,16.99519164161562,31.129701793353387,-14.134510151737768,0.9,0.041666666666666664,0.6416046175651468,0.0011794780002674088,nan
6,0.03,chance,0.2,10,10,2,16.99519164161562,31.129701793353387,-14.134510151737768,0.9,0.041666666666666664,0.6416046175651468,0.0018670219997147797,nan
6,0.03,chance,0.35,11,11,2,16.99519164161562,31.129701793353387,-14.134510151737768,0.9,0.041666666666666664,0.6416046175651468,0.001737803999276366,nan
6,0.03,chance,0.5,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.6264004795073802,0.0019078080003964715,nan
6,0.03,chance,0.65,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.6264004795073802,0.0019579159998102114,nan
6,0.03,chance,0.8,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.6264004795073802,0.0019002459994226228,nan
6,0.03,nominal,1.0,18,18,6,111.42358305260912,252.34715175138663,-140.9235686987775,0.8625,0.642512077294686,0.5564694952241526,0.0023105420004867483,nan
6,0.03,chance_qubo,0.2,10,10,1,1.1676026609644028,5.387506596885408,-4.219903935921005,0.35,0.0,0.6354406939496798,0.00122575999921537,0.9312980585576142
6,0.05,hard,0.0,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.03278688524590164,0.7341787269035429,0.001195965998704196,nan
6,0.05,chance,0.05,10,10,3,103.4692676483163,144.96232659375215,-41.49305894543585,0.925,0.0,0.7515074633184818,0.0013522449989977758,nan
6,0.05,chance,0.1,10,10,3,103.4692676483163,144.96232659375215,-41.49305894543585,0.925,0.0,0.7515074633184818,0.0012160469996160828,nan
6,0.05,chance,0.2,11,11,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.03278688524590164,0.7341787269035429,0.001325146999079152,nan
6,0.05,chance,0.35,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.03278688524590164,0.7341787269035429,0.0015431299998454051,nan
6,0.05,chance,0.5,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.03278688524590164,0.7341787269035429,0.0014869340011500753,nan
6,0.05,chance,0.65,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.03278688524590164,0.7341787269035429,0.0017882629999803612,nan
6,0.05,chance,0.8,14,14,4,115.2232174591817,178.32886000353537,-63.10564254435367,0.9125,0.18493150684931506,0.6870742226340208,0.0012437179993867176,nan
6,0.05,nominal,1.0,18,18,6,128.7100542303082,206.4430460225317,-77.73299179222346,0.8541666666666666,0.4146341463414634,0.6401749470310041,0.0012687999987974763,nan
6,0.05,chance_qubo,0.2,11,11,2,93.18145995075177,127.88295834584218,-34.70149839509041,0.9625,0.0,0.7928620829221357,0.0012491220004449133,0.10425958977916795
6,0.05,hard,0.0,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.19306930693069307,0.626171490504118,0.001414258998920559,nan
6,0.05,chance,0.05,13,13,5,77.79022043000006,213.5539638346217,-135.76374340462164,0.705,0.014184397163120567,0.6740331458101343,0.0014971999989938922,nan
6,0.05,chance,0.1,14,14,5,95.5943346335777,215.16395824902003,-119.56962361544232,0.74,0.02702702702702703,0.6631242328939745,0.0017778149995137937,nan
6,0.05,chance,0.2,14,14,5,95.5943346335777,215.16395824902003,-119.56962361544232,0.74,0.02702702702702703,0.6631242328939745,0.0012471689988160506,nan
6,0.05,chance,0.35,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.19306930693069307,0.626171490504118,0.0020736410006065853,nan
6,0.05,chance,0.5,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.19306930693069307,0.626171490504118,0.0013681620002898853,nan
6,0.05,chance,0.65,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.19306930693069307,0.626171490504118,0.0012824109999201028,nan
6,0.05,chance,0.8,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.19306930693069307,0.626171490504118,0.0012641570010600844,nan
