topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_tighter,D_tighter
chain8_c4,n16,59,16,31,106.08107745887717,106.08107745887717,106.08107745887717,106.08107745887717,106.08107745887717,106.08107745887717,1.0,1.0,False,False
chain8_c4,n24,59,24,53,95.21055509681072,95.21055509681072,95.21055509681072,95.21055509681072,95.21055509681072,95.21055509681072,1.0,1.0,False,False
chain8_c4,n8,60,8,15,100.54128868900665,100.54128868900665,100.54128868900665,100.54128868900665,100.54128868900665,100.54128868900665,1.0,1.0,False,False
chain8_c4,n16,60,16,22,90.22026899682744,90.22026899682744,90.22026899682744,90.22026899682744,90.22026899682744,90.22026899682744,1.0,1.0,False,False
chain8_c4,n24,60,24,54,111.60267652334193,111.60267652334193,111.60267652334193,111.60267652334193,111.60267652334193,111.60267652334193,1.0,1.0,False,False
chain8_c4,n8,61,8,17,116.39692210645906,116.39692210645906,116.39692210645906,116.39692210645906,116.39692210645906,116.39692210645906,1.0,1.0,False,False
chain8_c4,n16,61,16,39,113.93225066168019,113.93225066168019,113.93225066168019,113.93225066168019,113.93225066168019,113.93225066168019,1.0,1.0,False,False
chain8_c4,n24,61,24,60,114.80405741055581,114.80405741055581,114.80405741055581,114.80405741055581,114.80405741055581,114.80405741055581,1.0,1.0,False,False
chain8_c4,n8,62,8,16,101.596852058277,101.596852058277,101.596852058277,101.596852058277,101.596852058277,101.596852058277,1.0,1.0,False,False
chain8_c4,n16,62,16,32,109.19179268270838,109.19179268270838,109.19179268270838,109.19179268270838,109.19179268270838,109.19179268270838,1.0,1.0,False,False
chain8_c4,n24,62,24,46,112.98175643691062,112.98175643691062,112.98175643691062,112.98175643691062,112.98175643691062,112.98175643691062,1.0,1.0,False,False
chain8_c4,n8,63,8,15,88.32954547209512,88.32954547209512,88.32954547209512,88.32954547209512,88.32954547209512,88.32954547209512,1.0,1.0,False,False
chain8_c4,n16,63,16,27,121.03592174877004,121.03592174877004,121.03592174877004,121.03592174877004,121.03592174877004,121.03592174877004,1.0,1.0,False,False
chain8_c4,n24,63,24,45,107.57842855897452,107.57842855897452,107.57842855897452,107.57842855897452,107.57842855897452,107.57842855897452,1.0,1.0,False,False
chain8_c4,n8,64,8,14,106.87655313201437,106.87655313201437,106.87655313201437,106.87655313201437,106.87655313201437,106.87655313201437,1.0,1.0,False,False
chain8_c4,n16,64,16,30,52.34071478991911,52.34071478991911,52.34071478991911,52.34071478991911,52.34071478991911,52.34071478991911,1.0,1.0,False,False
chain8_c4,n24,64,24,51,117.43609022725721,117.43609022725721,117.43609022725721,117.43609022725721,117.43609022725721,117.43609022725721,1.0,1.0,False,False
chain8_c4,n8,65,8,16,81.70868824821306,81.70868824821306,81.70868824821306,81.70868824821306,81.70868824821306,81.70868824821306,1.0,1.0,False,False
chain8_c4,n16,65,16,36,116.63785243788132,116.63785243788132,116.63785243788132,116.63785243788132,116.63785243788132,116.63785243788132,1.0,1.0,False,False
chain8_c4,n24,65,24,46,75.58907831850743,75.58907831850743,75.58907831850743,75.58907831850743,75.58907831850743,75.58907831850743,1.0,1.0,False,False
chain8_c4,n8,66,8,15,59.44054955984092,59.44054955984092,59.44054955984092,59.44054955984092,59.44054955984092,59.44054955984092,1.0,1.0,False,False
chain8_c4,n16,66,16,36,121.12665989819496,121.12665989819496,121.12665989819496,121.12665989819496,121.12665989819496,121.12665989819496,1.0,1.0,False,False
chain8_c4,n24,66,24,51,116.71189279032366,116.71189279032366,116.71189279032366,116.71189279032366,116.71189279032366,116.71189279032366,1.0,1.0,False,False
chain8_c4,n8,67,8,19,110.64769516368798,110.64769516368798,110.64769516368798,110.64769516368798,110.64769516368798,110.64769516368798,1.0,1.0,False,False
chain8_c4,n16,67,16,26,91.60439174040755,91.60439174040755,91.60439174040755,91.60439174040755,91.60439174040755,91.60439174040755,1.0,1.0,False,False
chain8_c4,n24,67,24,38,83.72974458094512,83.72974458094512,83.72974458094512,83.72974458094512,83.72974458094512,83.72974458094512,1.0,1.0,False,False
chain8_c4,n8,68,8,15,103.82931304889497,103.82931304889497,103.82931304889497,103.82931304889497,103.82931304889497,103.82931304889497,1.0,1.0,False,False
chain8_c4,n16,68,16,21,81.73104079053805,81.73104079053805,81.73104079053805,81.73104079053805,81.73104079053805,81.73104079053805,1.0,1.0,False,False
chain8_c4,n24,68,24,50,89.53606463021215,89.53606463021215,89.53606463021215,89.53606463021215,89.53606463021215,89.53606463021215,1.0,1.0,False,False
chain8_c4,n8,69,8,17,104.05705091206103,104.05705091206103,104.05705091206103,104.05705091206103,104.05705091206103,104.05705091206103,1.0,1.0,False,False
chain8_c4,n16,69,16,35,109.03536245272795,109.03536245272795,109.03536245272795,109.03536245272795,109.03536245272795,109.03536245272795,1.0,1.0,False,False
