topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,C,D,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,n8,13,404,8,21,74,sa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,0.0747112079989165,100,1.0,0.0,0.0,0.0,0.0,0.0,44.77670247814689,44.77670247814689,True,87.36662540350468,87.36662540350468
chain8_c4,n8,13,505,8,21,74,sa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,0.07888308400288224,100,1.0,0.0,0.0,0.0,0.0,0.0,95.31722391039568,95.31722391039568,True,73.10703717528678,73.10703717528678
chain8_c4,n8,13,101,8,21,74,sqa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,14.73770458297804,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,220.38935361534425,False,nan,37.818974886304716
chain8_c4,n8,13,202,8,21,74,sqa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,14.375293292105198,100,1.0,0.0,0.0,0.0,0.0,0.0,124.44145074800613,124.44145074800613,True,64.88987853899806,64.88987853899806
chain8_c4,n8,13,303,8,21,74,sqa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,6.480419207946397,100,1.0,0.0,0.0,0.0,0.0,0.0,221.43109640909378,221.43109640909378,True,37.52505581191418,37.52505581191418
chain8_c4,n8,13,404,8,21,74,sqa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,5.9165277919964865,100,1.0,0.0,0.0,0.0,0.0,0.0,273.6757568565583,273.6757568565583,True,22.784658918649313,22.784658918649313
chain8_c4,n8,13,505,8,21,74,sqa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,6.9802695830585435,100,1.0,0.0,0.0,0.0,0.0,0.0,239.944645962759,239.944645962759,True,32.30161161710372,32.30161161710372
chain8_c4,n8,39,101,8,18,64,sa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,0.0862927499692887,100,1.0,0.0,0.0,0.0,0.0,0.0,147.28349632345302,147.28349632345302,True,39.065251971337524,39.065251971337524
chain8_c4,n8,39,202,8,18,64,sa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,0.07375612494070083,100,1.0,0.0,0.0,0.0,0.0,0.0,128.39412699787863,128.39412699787863,True,46.88024135579945,46.88024135579945
chain8_c4,n8,39,303,8,18,64,sa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,0.0660964580019936,100,1.0,0.0,0.0,0.0,0.0,0.0,183.8367259408269,183.8367259408269,True,23.94229595814679,23.94229595814679
chain8_c4,n8,39,404,8,18,64,sa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,0.1363711250014603,100,1.0,0.0,0.0,0.0,0.0,0.0,133.89975053817267,133.8997505381727,True,44.602431611035335,44.60243161103533
chain8_c4,n8,39,505,8,18,64,sa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,0.08767270797397941,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,163.7762138669608,False,nan,32.24181544987903
chain8_c4,n8,39,101,8,18,64,sqa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,6.70680662500672,100,1.0,0.0,0.0,0.0,0.0,0.0,228.37447614683487,228.37447614683487,True,5.515950479448021,5.515950479448021
chain8_c4,n8,39,202,8,18,64,sqa,conventional,1.0,66.51110172628738,66.51110172628738,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0033067500917240977,6.438873625011183,100,1.0,0.0,0.0,0.0,0.0,0.0,198.44170968444314,198.44170968444317,True,17.899860610023854,17.899860610023843
